item_text,trait,keyed,item_no,facet
Am often down in the dumps.,neuroticism,+,71,N3: Depression
Take control of things.,extraversion,+,72,E3: Assertiveness
Rarely notice my emotional reactions.,openness,-,73,O3: Emotionality
Am indifferent to the feelings of others.,agreeableness,-,74,A3: Altruism
Break rules.,conscientiousness,-,75,C3: Dutifulness
Only feel comfortable with friends.,neuroticism,+,76,N4: Self-Consciousness
Do a lot in my spare time.,extraversion,+,77,E4: Activity Level
Dislike changes.,openness,-,78,O4: Adventurousness
Insult people.,agreeableness,-,79,A4: Cooperation
Do just enough work to get by.,conscientiousness,-,80,C4: Achievement-Striving
Easily resist temptations.,neuroticism,-,81,N5: Immoderation
Enjoy being reckless.,extraversion,+,82,E5: Excitement-Seeking
Have difficulty understanding abstract ideas.,openness,-,83,O5: Intellect
Have a high opinion of myself.,agreeableness,-,84,A5: Modesty
Waste my time.,conscientiousness,-,85,C5: Self-Discipline
Feel that I'm unable to deal with things.,neuroticism,+,86,N6: Vulnerability
Love life.,extraversion,+,87,E6: Cheerfulness
Tend to vote for conservative political candidates.,openness,-,88,O6: Liberalism
Am not interested in other people's problems.,agreeableness,-,89,A6: Sympathy
Rush into things.,conscientiousness,-,90,C6: Cautiousness
Get stressed out easily.,neuroticism,+,91,N1: Anxiety
Keep others at a distance.,extraversion,-,92,E1: Friendliness
Like to get lost in thought.,openness,+,93,O1: Imagination
Distrust people.,agreeableness,-,94,A1: Trust
Know how to get things done.,conscientiousness,+,95,C1: Self-Efficacy
Am not easily annoyed.,neuroticism,-,96,N2: Anger
Avoid crowds.,extraversion,-,97,E2: Gregariousness
Do not enjoy going to art museums.,openness,-,98,O2: Artistic Interests
Obstruct others' plans.,agreeableness,-,99,A2: Morality
Leave my belongings around.,conscientiousness,-,100,C2: Orderliness
Feel comfortable with myself.,neuroticism,-,101,N3: Depression
Wait for others to lead the way.,extraversion,-,102,E3: Assertiveness
Don't understand people who get emotional.,openness,-,103,O3: Emotionality
Take no time for others.,agreeableness,-,104,A3: Altruism
Break my promises.,conscientiousness,-,105,C3: Dutifulness
Am not bothered by difficult social situations.,neuroticism,-,106,N4: Self-Consciousness
Like to take it easy.,extraversion,-,107,E4: Activity Level
Am attached to conventional ways.,openness,-,108,O4: Adventurousness
Get back at others.,agreeableness,-,109,A4: Cooperation
Put little time and effort into my work.,conscientiousness,-,110,C4: Achievement-Striving
Am able to control my cravings.,neuroticism,-,111,N5: Immoderation
Act wild and crazy.,extraversion,+,112,E5: Excitement-Seeking
Am not interested in theoretical discussions.,openness,-,113,O5: Intellect
Boast about my virtues.,agreeableness,-,114,A5: Modesty
Have difficulty starting tasks.,conscientiousness,-,115,C5: Self-Discipline
Remain calm under pressure.,neuroticism,-,116,N6: Vulnerability
Look at the bright side of life.,extraversion,+,117,E6: Cheerfulness
Believe that we should be tough on crime.,openness,-,118,O6: Liberalism
Try not to think about the needy.,agreeableness,-,119,A6: Sympathy
Act without thinking.,conscientiousness,-,120,C6: Cautiousness
